MDate,TradeDate,TraderId,IAccountId,CommodityId,BS,Qty,Price
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,3000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,10000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,10000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,5000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,5000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,5000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,5000,17.01
2023-02-22 10:52:16,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:17,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:17,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:18,2023-02-22,K36,NV3F,00878,S,5000,17.01
2023-02-22 10:52:18,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:18,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:18,2023-02-22,K36,NV3F,00878,S,3000,17.01
2023-02-22 10:52:19,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:20,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:20,2023-02-22,K36,NV3F,00878,S,3000,17.01
2023-02-22 10:52:21,2023-02-22,K36,NV3F,00878,S,10000,17.01
2023-02-22 10:52:22,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:24,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:24,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:24,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:24,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:24,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:25,2023-02-22,K36,NV3F,00878,S,50000,17.01
2023-02-22 10:52:26,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:26,2023-02-22,K36,NV3F,00878,S,3000,17.01
2023-02-22 10:52:26,2023-02-22,K36,NV3F,00878,S,4000,17.01
2023-02-22 10:52:27,2023-02-22,K36,NV3F,00878,S,5000,17.01
2023-02-22 10:52:27,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:27,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:29,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:29,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:29,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:30,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:30,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:31,2023-02-22,K36,NV3F,00878,S,5000,17.01
2023-02-22 10:52:33,2023-02-22,K36,NV3F,00878,S,3000,17.01
2023-02-22 10:52:33,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:33,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:33,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:34,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:35,2023-02-22,K36,NV3F,00878,S,5000,17.01
2023-02-22 10:52:35,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:35,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:36,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:36,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:36,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:38,2023-02-22,K36,NV3F,00878,S,3000,17.01
2023-02-22 10:52:38,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:38,2023-02-22,K36,NV3F,00878,S,3000,17.01
2023-02-22 10:52:38,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:39,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:39,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:39,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:40,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:40,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:41,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:41,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:42,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:43,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:44,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:45,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:45,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:45,2023-02-22,K36,NV3F,00878,S,5000,17.01
2023-02-22 10:52:46,2023-02-22,K36,NV3F,00878,S,5000,17.01
2023-02-22 10:52:47,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:47,2023-02-22,K36,NV3F,00878,S,3000,17.01
2023-02-22 10:52:47,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:48,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:48,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:50,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:50,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:50,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:51,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:51,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:52,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:52,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:52,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:53,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:53,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:54,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:54,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:55,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:57,2023-02-22,K36,NV3F,00878,S,2000,17.01
2023-02-22 10:52:57,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:58,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:52:58,2023-02-22,K44,LHDU,00632R,S,1000,5.42
2023-02-22 10:52:59,2023-02-22,K36,NV3F,00878,S,3000,17.01
2023-02-22 10:52:59,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:53:00,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:53:01,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:53:02,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:53:02,2023-02-22,K36,NV3F,00878,S,10000,17.01
2023-02-22 10:53:02,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:53:02,2023-02-22,K36,NV3F,00878,S,1000,17.01
2023-02-22 10:53:58,2023-02-22,K44,LHDU,00632R,S,36000,5.42
2023-02-22 10:54:34,2023-02-22,K44,LHDU,00632R,S,2000,5.42
2023-02-22 10:55:28,2023-02-22,K44,LHDU,00632R,S,7000,5.42
2023-02-22 11:07:27,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:07:39,2023-02-22,K44,LHDU,00632R,S,50000,5.41
2023-02-22 11:07:42,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:07:55,2023-02-22,K44,LHDU,00632R,S,10000,5.41
