TDate,TTime,ETFID,NAVBid1,NAVAsk1,NAVTrade,MktBid1,MktAsk1,MktTrade,VolumeBid1,VolumeAsk1,VolumeTrade
2023-02-22,09:05:57.573000,00632R,5.4198,5.4205,5.42,5.41,5.42,5.42,42038,5422,1504
2023-02-22,09:05:57.573000,00878,16.9076,16.9452,16.9217,16.98,16.99,16.99,1968,535,231
2023-02-22,09:06:02.590000,00632R,5.4201,5.4211,5.4203,5.42,5.43,5.42,2024,21701,5536
2023-02-22,09:06:02.590000,00878,16.9095,16.942,16.9213,16.98,16.99,16.99,2000,476,75
2023-02-22,09:06:07.607000,00632R,5.4206,5.4211,5.4209,5.42,5.43,5.42,4961,21751,415
2023-02-22,09:06:07.607000,00878,16.908,16.9401,16.9206,16.98,16.99,16.99,2086,417,86
2023-02-22,09:06:12.620000,00632R,5.4206,5.4214,5.4212,5.42,5.43,5.43,6301,21256,119
2023-02-22,09:06:12.620000,00878,16.908,16.9415,16.9225,16.98,16.99,16.99,2130,433,101
2023-02-22,09:06:17.637000,00632R,5.4215,5.4224,5.4222,5.42,5.43,5.42,11352,21227,90
2023-02-22,09:06:17.637000,00878,16.9086,16.9424,16.9218,16.98,16.99,16.99,2193,898,100
2023-02-22,09:06:22.650000,00632R,5.423,5.4238,5.423,5.42,5.43,5.43,16402,18884,64
2023-02-22,09:06:22.650000,00878,16.9071,16.9417,16.9242,16.98,16.99,16.99,1711,1372,605
2023-02-22,09:06:27.667000,00632R,5.4233,5.4238,5.4233,5.42,5.43,5.43,17548,18863,45
2023-02-22,09:06:27.667000,00878,16.9048,16.9392,16.9168,16.98,16.99,16.98,1171,1403,626
2023-02-22,09:06:32.667000,00632R,5.4245,5.4253,5.4251,5.42,5.43,5.43,19037,8403,117
2023-02-22,09:06:32.667000,00878,16.9029,16.9372,16.9188,16.97,16.98,16.98,1222,580,1327
2023-02-22,09:06:37.667000,00632R,5.4235,5.424,5.4238,5.42,5.43,5.43,19232,13439,78
2023-02-22,09:06:37.667000,00878,16.8973,16.9316,16.9056,16.97,16.98,16.98,1235,460,130
2023-02-22,09:06:42.667000,00632R,5.4235,5.424,5.4237,5.42,5.43,5.43,19554,13728,68
2023-02-22,09:06:42.667000,00878,16.898,16.9312,16.9076,16.97,16.98,16.97,1249,903,106
2023-02-22,09:06:47.683000,00632R,5.4241,5.4247,5.4247,5.42,5.43,5.42,19569,13198,160
2023-02-22,09:06:47.683000,00878,16.8966,16.93,16.9057,16.97,16.98,16.98,1293,851,69
2023-02-22,09:06:52.683000,00632R,5.4241,5.4247,5.424,5.42,5.43,5.43,19581,13306,55
2023-02-22,09:06:52.683000,00878,16.8982,16.9331,16.9045,16.97,16.98,16.98,1337,761,110
2023-02-22,09:06:57.683000,00632R,5.4235,5.4243,5.4237,5.42,5.43,5.43,19557,13325,43
2023-02-22,09:06:57.683000,00878,16.8993,16.9341,16.9069,16.97,16.98,16.98,1380,681,114
2023-02-22,09:07:02.697000,00632R,5.4219,5.4226,5.4221,5.42,5.43,5.43,19532,13614,203
2023-02-22,09:07:02.697000,00878,16.9,16.9348,16.9078,16.97,16.98,16.98,1442,1106,93
2023-02-22,09:07:07.713000,00632R,5.4206,5.4214,5.4208,5.42,5.43,5.43,15043,14053,112
2023-02-22,09:07:07.713000,00878,16.8999,16.9348,16.9095,16.97,16.98,16.98,1450,1032,146
2023-02-22,09:07:12.713000,00632R,5.4212,5.4217,5.4214,5.42,5.43,5.43,15042,14428,72
2023-02-22,09:07:12.713000,00878,16.9007,16.9352,16.9122,16.97,16.98,16.97,1498,916,166
2023-02-22,09:07:17.713000,00632R,5.4212,5.4217,5.4217,5.42,5.43,5.43,15523,14511,61
2023-02-22,09:07:17.713000,00878,16.9009,16.9352,16.9101,16.97,16.98,16.98,1708,854,68
2023-02-22,09:07:22.730000,00632R,5.4222,5.4227,5.4224,5.42,5.43,5.43,20014,14693,22
2023-02-22,09:07:22.730000,00878,16.9009,16.9388,16.9152,16.97,16.98,16.98,1754,783,77
2023-02-22,09:07:27.730000,00632R,5.4228,5.4235,5.423,5.42,5.43,5.43,20016,14362,53
2023-02-22,09:07:27.730000,00878,16.8986,16.9365,16.9131,16.97,16.98,16.98,1814,735,91
2023-02-22,09:07:32.747000,00632R,5.4231,5.4238,5.4236,5.42,5.43,5.43,19988,13879,50
2023-02-22,09:07:32.747000,00878,16.9005,16.9356,16.9112,16.97,16.98,16.98,1881,706,79
2023-02-22,09:07:37.760000,00632R,5.4233,5.4238,5.4233,5.42,5.43,5.43,20270,13453,6
2023-02-22,09:07:37.760000,00878,16.9015,16.936,16.9137,16.97,16.98,16.98,1926,647,71
2023-02-22,09:07:42.777000,00632R,5.4239,5.4245,5.4241,5.42,5.43,5.43,20377,13217,310
2023-02-22,09:07:42.777000,00878,16.8984,16.9356,16.9114,16.97,16.98,16.98,1997,742,120
2023-02-22,09:07:47.777000,00632R,5.4249,5.4256,5.4251,5.42,5.43,5.43,21405,8487,55
2023-02-22,09:07:47.777000,00878,16.8971,16.9306,16.9083,16.97,16.98,16.98,2077,623,150
2023-02-22,09:07:52.777000,00632R,5.4233,5.4241,5.4235,5.42,5.43,5.43,21400,13564,541
2023-02-22,09:07:52.777000,00878,16.8969,16.93,16.9099,16.97,16.98,16.97,2142,660,107
2023-02-22,09:07:57.777000,00632R,5.4219,5.4229,5.4224,5.42,5.43,5.43,21615,13865,76
2023-02-22,09:07:57.777000,00878,16.8983,16.9315,16.9147,16.97,16.98,16.98,2266,616,127
2023-02-22,09:08:02.790000,00632R,5.4222,5.4227,5.4227,5.42,5.43,5.43,21811,14356,37
2023-02-22,09:08:02.790000,00878,16.899,16.9321,16.9179,16.97,16.98,16.98,2310,955,116
2023-02-22,09:08:07.790000,00632R,5.4215,5.4224,5.4221,5.42,5.43,5.43,21814,14871,23
2023-02-22,09:08:07.790000,00878,16.9004,16.9336,16.9175,16.97,16.98,16.98,2372,861,155
2023-02-22,09:08:12.790000,00632R,5.4219,5.4224,5.4224,5.42,5.43,5.43,22001,14812,97
2023-02-22,09:08:12.790000,00878,16.9004,16.9335,16.9174,16.97,16.98,16.98,2442,801,60
2023-02-22,09:08:17.790000,00632R,5.4222,5.4227,5.4224,5.42,5.43,5.43,22500,14751,112
2023-02-22,09:08:17.790000,00878,16.899,16.9327,16.9144,16.97,16.98,16.98,2513,917,104
2023-02-22,09:08:22.790000,00632R,5.4215,5.4221,5.4217,5.42,5.43,5.43,22520,14625,202
2023-02-22,09:08:22.790000,00878,16.8989,16.9343,16.9153,16.97,16.98,16.98,2580,768,113
2023-02-22,09:08:27.790000,00632R,5.4222,5.4229,5.4224,5.42,5.43,5.43,22620,14715,51
2023-02-22,09:08:27.790000,00878,16.9009,16.937,16.9156,16.97,16.98,16.98,2659,663,105
2023-02-22,09:08:32.807000,00632R,5.4228,5.4233,5.423,5.42,5.43,5.43,22624,14813,43
2023-02-22,09:08:32.807000,00878,16.9014,16.9371,16.9154,16.97,16.98,16.98,2766,571,145
2023-02-22,09:08:37.807000,00632R,5.4225,5.4233,5.4233,5.42,5.43,5.42,22630,13285,1559
2023-02-22,09:08:37.807000,00878,16.8993,16.9371,16.9169,16.97,16.98,16.98,2873,408,170
2023-02-22,09:08:42.823000,00632R,5.4234,5.4239,5.4236,5.42,5.43,5.43,22631,12559,1
2023-02-22,09:08:42.823000,00878,16.901,16.937,16.9178,16.97,16.98,16.98,2950,737,170
2023-02-22,09:08:47.823000,00632R,5.4234,5.4239,5.4236,5.42,5.43,5.43,22632,12595,0
2023-02-22,09:08:47.823000,00878,16.901,16.937,16.917,16.97,16.98,16.97,3017,595,149
2023-02-22,09:08:52.837000,00632R,5.4225,5.423,5.4233,5.42,5.43,5.43,22589,12916,55
2023-02-22,09:08:52.837000,00878,16.9009,16.9371,16.916,16.97,16.98,16.98,3064,524,135
2023-02-22,09:08:57.853000,00632R,5.4228,5.4235,5.423,5.42,5.43,5.43,22549,12792,162
2023-02-22,09:08:57.853000,00878,16.9007,16.9365,16.9186,16.97,16.98,16.98,3121,251,285
2023-02-22,09:09:02.870000,00632R,5.4249,5.4257,5.4255,5.42,5.43,5.43,22542,8003,154
2023-02-22,09:09:02.870000,00878,16.9034,16.9385,16.9188,16.97,16.98,16.98,2787,1112,645
2023-02-22,09:09:07.887000,00632R,5.4249,5.4254,5.4252,5.42,5.43,5.43,22462,7905,236
2023-02-22,09:09:07.887000,00878,16.9002,16.9349,16.9125,16.97,16.98,16.98,2811,1759,120
2023-02-22,09:09:12.900000,00632R,5.4252,5.4257,5.4255,5.42,5.43,5.43,22822,7737,208
2023-02-22,09:09:12.900000,00878,16.8987,16.9338,16.9103,16.97,16.98,16.98,2321,1710,598
2023-02-22,09:09:17.917000,00632R,5.4255,5.4265,5.4261,5.42,5.43,5.43,24319,7221,212
2023-02-22,09:09:17.917000,00878,16.8986,16.9353,16.9115,16.97,16.98,16.98,2364,1572,123
2023-02-22,09:09:22.930000,00632R,5.4265,5.4275,5.4271,5.42,5.43,5.43,25317,6481,259
2023-02-22,09:09:22.930000,00878,16.8957,16.934,16.9158,16.97,16.98,16.98,2470,1489,88
2023-02-22,09:09:27.947000,00632R,5.427,5.4275,5.4271,5.42,5.43,5.43,40403,6178,324
2023-02-22,09:09:27.947000,00878,16.8929,16.9283,16.914,16.97,16.98,16.98,1882,1467,769
2023-02-22,09:09:32.947000,00632R,5.4268,5.4275,5.4268,5.42,5.43,5.43,26406,6085,11
2023-02-22,09:09:32.947000,00878,16.8921,16.9283,16.9148,16.97,16.98,16.98,1967,1806,61
2023-02-22,09:09:37.963000,00632R,5.4265,5.4275,5.4271,5.42,5.43,5.43,25903,5009,1066
2023-02-22,09:09:37.963000,00878,16.8914,16.9284,16.9117,16.97,16.98,16.98,1654,1722,502
2023-02-22,09:09:42.963000,00632R,5.4258,5.4263,5.4258,5.42,5.43,5.43,25401,4318,1271
2023-02-22,09:09:42.963000,00878,16.8922,16.9283,16.9133,16.97,16.98,16.98,1729,953,70
2023-02-22,09:09:47.963000,00632R,5.4255,5.426,5.4255,5.42,5.43,5.43,23904,4346,55
2023-02-22,09:09:47.963000,00878,16.8945,16.9291,16.912,16.97,16.98,16.98,1798,1344,108
2023-02-22,09:09:52.963000,00632R,5.4255,5.426,5.4255,5.42,5.43,5.43,24393,4745,35
2023-02-22,09:09:52.963000,00878,16.8945,16.9291,16.9151,16.97,16.98,16.98,1882,859,89
2023-02-22,09:09:57.963000,00632R,5.4255,5.4262,5.4255,5.42,5.43,5.43,24812,5177,200
2023-02-22,09:09:57.963000,00878,16.8945,16.9283,16.916,16.97,16.98,16.98,1972,1293,96
2023-02-22,09:10:02.977000,00632R,5.4255,5.4263,5.4261,5.42,5.43,5.43,26811,4965,361
2023-02-22,09:10:02.977000,00878,16.8936,16.9255,16.9129,16.97,16.98,16.98,2026,1719,96
2023-02-22,09:10:07.977000,00632R,5.4249,5.4257,5.4252,5.42,5.43,5.43,25416,4989,2
2023-02-22,09:10:07.977000,00878,16.8936,16.9281,16.9103,16.97,16.98,16.98,2090,1886,58
2023-02-22,09:10:12.977000,00632R,5.4261,5.4267,5.4261,5.42,5.43,5.43,27462,4897,0
